Column_Header,Column_Letter,1,Col_Header_Row,Index,Base,1a,2a,2b,3,4,5,6,7,8,9,10,11,12,4G_Qcode_lookup,4G_Qcode_lookup_copy,OrderCode_1a,OrderCode_2a,OrderCode_2b,OrderCode_3,OrderCode_4,4G_OrderCodes_selected,5G_Qcode_lookup,5G_Qcode_lookup_copy,OrderCode_5,OrderCode_6,OrderCode_7,OrderCode_8,OrderCode_9,OrderCode_10,OrderCode_11,OrderCode_12,5G_OrderCodes_selected,LTE_Qcode_pattern,LTE_Qcode_Match,NR_Qcode_pattern,NR_Qcode_Match,Column_Letter_cc,Index_cc
"6. TEF Only 5G
T34 M-MiMo UG
Ordering Code",AH,53,"6. TEF Only 5G
T34 M-MiMo UG
Ordering Code (53)",34,B,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,QQQQQ,QQQQQ,,,,,,", , , , ",QQQQQQQQ,QQQQQQQQ,,,,,,,,,", , , , , , , ",XXXXXXXXXXXXXX,,BQQQQQQQQQQQQQ,,AH,34
"TEF & VF 5G MoRAN
T34 8x8 Q-Code",AI,54,"TEF & VF 5G MoRAN
T34 8x8 Q-Code (54)",35,B,.,.,.,.,.,Y,N,Y,N,N,N,N,N,.....,.....,,,,,,", , , , ",YNYNNNNN,YNYNNNNN,5,,7,,,,,,"5, , 7, , , , , ",XXXXXXXXXXXXXX,,B.....YNYNNNNN,,AI,35
"7. VF 5G T34 8x8 MoRAN UG
Ordering Code",AJ,55,"7. VF 5G T34 8x8 MoRAN UG
Ordering Code (55)",36,B,.,0,0,0,0,.,.,.,.,.,.,.,.,0,0,,,,,,", , , , ",........,........,,,,,,,,,", , , , , , , ",XXXXXXXXXXXXXX,,B.0000........,,AJ,36
"TEF & VF 5G MoRAN
T34 M-MiMo Q-Code",AK,56,"TEF & VF 5G MoRAN
T34 M-MiMo Q-Code (56)",37,B,.,.,.,.,.,N,Y,N,Y,N,N,N,N,.....,.....,,,,,,", , , , ",NYNYNNNN,NYNYNNNN,,6,,8,,,,,", 6, , 8, , , , ",XXXXXXXXXXXXXX,,B.....NYNYNNNN,,AK,37
"8. VF 5G T34
M-MiMo MoRAN UG
Ordering Code",AL,57,"8. VF 5G T34
M-MiMo MoRAN UG
Ordering Code (57)",38,B,R,R,R,R,R,R,R,R,R,R,R,R,R,RRRRR,RRRRR,,,,,,", , , , ",RRRRRRRR,RRRRRRRR,,,,,,,,,", , , , , , , ",XXXXXXXXXXXXXX,,BRRRRRRRRRRRRR,,AL,38
"TEF Only
5G N21 4x4
Q-Code",AM,58,"TEF Only
5G N21 4x4
Q-Code (58)",39,B,.,.,N,N,.,N,N,N,N,Y,N,N,N,..NN.,..NN.,,,,,,", , , , ",NNNNYNNN,NNNNYNNN,,,,,9,,,,", , , , 9, , , ",XXXXXXXXXXXXXX,,B..NN.NNNNYNNN,,AM,39
"TEF Only
5G N21 4x4
Q-Code",AM,59,"TEF Only
5G N21 4x4
Q-Code (59)",39,B,.,.,N,Y,.,N,N,N,N,N,Y,N,N,..NY.,..NY.,,,,3,,", , , 3, ",NNNNNYNN,NNNNNYNN,,,,,,10,,,", , , , , 10, , ",XXXXXXXXXXXXXX,,B..NY.NNNNNYNN,,AM,39
"TEF Only
5G N21 4x4
(4415) Q-Code",AN,60,"TEF Only
5G N21 4x4
(4415) Q-Code (60)",40,B,.,.,Y,N,.,N,N,N,N,Y,N,N,N,..YN.,..YN.,,,2b,,,", , 2b, , ",NNNNYNNN,NNNNYNNN,,,,,9,,,,", , , , 9, , , ",XXXXXXXXXXXXXX,,B..YN.NNNNYNNN,,AN,40
"TEF Only
5G N21 4x4
(4415) Q-Code",AN,61,"TEF Only
5G N21 4x4
(4415) Q-Code (61)",40,B,.,.,Y,Y,.,N,N,N,N,N,Y,N,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NNNNNYNN,NNNNNYNN,,,,,,10,,,", , , , , 10, , ",XXXXXXXXXXXXXX,,B..YY.NNNNNYNN,,AN,40
"TEF Only 5G T34 8x8 +
N21 4x4 Q-Code",AO,62,"TEF Only 5G T34 8x8 +
N21 4x4 Q-Code (62)",41,B,.,.,N,N,.,Y,N,N,N,Y,N,N,N,..NN.,..NN.,,,,,,", , , , ",YNNNYNNN,YNNNYNNN,5,,,,9,,,,"5, , , , 9, , , ",XXXXXXXXXXXXXX,,B..NN.YNNNYNNN,,AO,41
"TEF Only 5G T34 8x8 +
N21 4x4 Q-Code",AO,63,"TEF Only 5G T34 8x8 +
N21 4x4 Q-Code (63)",41,B,.,.,N,Y,.,Y,N,N,N,N,Y,N,N,..NY.,..NY.,,,,3,,", , , 3, ",YNNNNYNN,YNNNNYNN,5,,,,,10,,,"5, , , , , 10, , ",XXXXXXXXXXXXXX,,B..NY.YNNNNYNN,,AO,41
"TEF Only 5G T34 8x8 +
N21 4x4 (4415) Q-Code",AP,64,"TEF Only 5G T34 8x8 +
N21 4x4 (4415) Q-Code (64)",42,B,.,.,Y,N,.,Y,N,N,N,Y,N,N,N,..YN.,..YN.,,,2b,,,", , 2b, , ",YNNNYNNN,YNNNYNNN,5,,,,9,,,,"5, , , , 9, , , ",XXXXXXXXXXXXXX,,B..YN.YNNNYNNN,,AP,42
"TEF Only 5G T34 8x8 +
N21 4x4 (4415) Q-Code",AP,65,"TEF Only 5G T34 8x8 +
N21 4x4 (4415) Q-Code (65)",42,B,.,.,Y,Y,.,Y,N,N,N,N,Y,N,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNNNNYNN,YNNNNYNN,5,,,,,10,,,"5, , , , , 10, , ",XXXXXXXXXXXXXX,,B..YY.YNNNNYNN,,AP,42
"TEF Only 5G T34 M-MiMo +
N21 4x4 Q-Code",AQ,66,"TEF Only 5G T34 M-MiMo +
N21 4x4 Q-Code (66)",43,B,.,.,N,N,.,N,Y,N,N,Y,N,N,N,..NN.,..NN.,,,,,,", , , , ",NYNNYNNN,NYNNYNNN,,6,,,9,,,,", 6, , , 9, , , ",XXXXXXXXXXXXXX,,B..NN.NYNNYNNN,,AQ,43
